N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,70.7947,6018.97,31.011,147.726,39.5867,44.7678,75.4579
2,72.8621,6043.55,43.2928,176.264,53.2298,78.3451,121.71
4,87.3443,6181.6,36.9125,263.113,44.0721,141.389,176.55700000000002
8,116.837,6344.69,51.333999999999996,393.775,55.7427,289.829,239.623
16,175.06400000000002,6735.69,65.5183,642.091,78.7703,566.134,453.44199999999995
32,297.305,7403.16,94.5189,1145.0,117.133,1109.32,777.945
64,518.08,8768.01,154.934,2214.86,192.989,2242.83,1436.09
128,963.806,12413.1,275.074,4309.85,358.097,4890.4,2790.35
256,1835.58,19522.5,515.045,8745.79,700.284,10197.9,5411.58
512,3579.74,32654.3,996.061,16732.2,1408.29,20647.0,10811.0
1024,7151.97,58904.2,1958.75,33262.4,2806.88,41692.3,22352.6
2048,14293.9,110548.0,3883.24,65627.1,5685.02,84058.5,44505.1
4096,28420.8,216483.0,7741.93,130942.0,11699.4,178273.0,88850.2
8192,56974.9,442138.0,15434.0,262561.0,23450.9,381077.0,177390.0
16384,114981.0,987566.0,30855.2,540559.0,46889.7,787942.0,360392.0
